Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10382277,1,"Friday, December 30, 2011 14:30:52 UTC",64.4115,-149.7092,1.1,8.30, 6,"Central Alaska"
nn,00362426,8,"Friday, December 30, 2011 14:18:52 UTC",37.4057,-117.6328,2.4,11.70,14,"Nevada"
us,c0007epb,5,"Friday, December 30, 2011 13:17:58 UTC",12.4879,143.8121,4.6,19.10,25,"Guam region"
ak,10382269,2,"Friday, December 30, 2011 13:07:11 UTC",61.9125,-149.2183,1.2,13.70, 8,"Southern Alaska"
ci,11047901,0,"Friday, December 30, 2011 12:59:52 UTC",32.1355,-115.2680,2.9,20.90,15,"Baja California, Mexico"
us,c0007ep8,4,"Friday, December 30, 2011 12:35:19 UTC",50.9406,178.0560,4.5,30.20,44,"Rat Islands, Aleutian Islands, Alaska"
us,c0007ep0,5,"Friday, December 30, 2011 12:23:17 UTC",55.0209,161.8318,4.4,55.90,40,"near the east coast of the Kamchatka Peninsula, Russia"
ak,10382262,1,"Friday, December 30, 2011 12:22:19 UTC",62.8906,-151.8188,1.7,12.80, 4,"Central Alaska"
us,c0007eny,5,"Friday, December 30, 2011 12:17:44 UTC",-58.4363,-149.1491,4.6,10.00,14,"Pacific-Antarctic Ridge"
uu,12301210,2,"Friday, December 30, 2011 12:10:06 UTC",39.4355,-111.2260,1.6,0.30, 8,"Utah"
nc,71702890,3,"Friday, December 30, 2011 12:10:06 UTC",38.8358,-122.8040,2.3,2.70,69,"Northern California"
hv,60294591,1,"Friday, December 30, 2011 12:06:18 UTC",19.3272,-155.1372,1.7,6.40,31,"Island of Hawaii, Hawaii"
ci,11047885,0,"Friday, December 30, 2011 11:59:39 UTC",33.3380,-116.3715,1.1,15.10,38,"Southern California"
ak,10382250,1,"Friday, December 30, 2011 11:53:54 UTC",61.9326,-151.1012,3.0,62.20,42,"Southern Alaska"
nc,71702885,0,"Friday, December 30, 2011 11:43:40 UTC",37.9022,-121.9822,1.3,8.40,12,"San Francisco Bay area, California"
ak,10382244,1,"Friday, December 30, 2011 10:55:04 UTC",63.0547,-148.1733,1.7,55.60,21,"Central Alaska"
ne,00001299,a,"Friday, December 30, 2011 10:49:30 UTC",46.9250,-68.9181,2.0,7.70,11,"Maine"
nc,71702855,0,"Friday, December 30, 2011 10:35:44 UTC",38.7908,-122.7453,1.0,1.60,16,"Northern California"
hv,60294586,1,"Friday, December 30, 2011 10:35:30 UTC",19.8415,-156.0850,2.6,39.40,40,"Hawaii region, Hawaii"
ak,10382237,2,"Friday, December 30, 2011 09:53:07 UTC",61.6683,-151.7072,1.6,85.20,15,"Southern Alaska"
ci,11047877,0,"Friday, December 30, 2011 09:37:10 UTC",33.0302,-116.4318,1.5,9.80,59,"Southern California"
us,c0007emz,7,"Friday, December 30, 2011 09:36:29 UTC",-26.6415,-178.0573,4.7,221.20,92,"south of the Fiji Islands"
us,c0007end,4,"Friday, December 30, 2011 09:34:50 UTC",38.9480,141.6062,4.6,68.00,27,"near the east coast of Honshu, Japan"
ak,10382227,2,"Friday, December 30, 2011 09:22:36 UTC",64.6723,-149.6596,1.0,9.30,12,"Central Alaska"
us,c0007emj,6,"Friday, December 30, 2011 09:22:16 UTC",-14.4540,-75.5246,5.1,51.30,164,"near the coast of central Peru"
ci,11047869,0,"Friday, December 30, 2011 08:56:53 UTC",33.1507,-115.6398,1.3,10.60,16,"Southern California"
us,c0007els,9,"Friday, December 30, 2011 08:51:58 UTC",-5.9234,104.3265,5.5,60.80,104,"southern Sumatra, Indonesia"
us,c0007eln,5,"Friday, December 30, 2011 08:46:42 UTC",-5.7790,152.0782,5.0,53.50,52,"New Britain region, Papua New Guinea"
ci,11047861,0,"Friday, December 30, 2011 08:44:34 UTC",33.9952,-117.2217,1.8,6.00,105,"Greater Los Angeles area, California"
ak,10382208,2,"Friday, December 30, 2011 08:42:23 UTC",60.7122,-137.3218,2.1,13.00,10,"Southern Yukon Territory, Canada"
us,c0007el4,7,"Friday, December 30, 2011 08:05:45 UTC",51.1213,178.1526,4.7,62.90,164,"Rat Islands, Aleutian Islands, Alaska"
us,c0007eky,8,"Friday, December 30, 2011 07:13:02 UTC",-1.9692,-78.7177,4.6,126.40,68,"Ecuador"
ci,11047853,0,"Friday, December 30, 2011 06:00:07 UTC",33.9890,-117.1767,1.4,16.70,29,"Greater Los Angeles area, California"
